ClusterID,SeedHash
0,d1482dd228aa85f8d2693d739eefc516b8f6da6b
1,f783a73dc4ae6afa7c012ebc52eaea1a330364e7
2,fb54d3325c74b3fef7e229654d15ec16bdd55937
3,f36ade357b7e2e6a3af1a63a2ea6c14f5dfc1a97
4,c0fc514ffc92de49b0065141c0e891996fb10f5d
5,b5cb4e340aad05348451cb7350d6821983850d06
6,a8dc55d7e25800cf2c2c0bdf5032f2157d791306
7,df7fa23db6828fea80ff600ad69eaed5fecde2fd
8,e7fe2aa144a427a114117195636aad3229f46969
9,c40d28a8d79f4c78eec6cba98881363a922b22f8
10,d01bafa930a8daf28377f451728811df301d002d
11,f86456df7b50fa5ceb55e542c8707dfca385e817
12,bbf05b3a8845af663cf5d97eaa9aec3629d59733
13,d52e8b6602cfd299d4cc3849964717c9a817bb33
14,c483c3dce3dbf0c52cb581291e28137f277d918b
