Filename,Cluster
00844776953c720bb73b2df8a24d1b82cdc3c8c5,4
0090238528167618145ad0deb980374ee19acec1,1
00986610634e2c191186a712eadd83a58470d4ec,0
01328813611e90733b228e4906befcb112604a22,3
0163128265404cb2a880aed32cf14d1aa0b7ed80,4
016734399100c0d1fa8ee689259ff456e434e4ba,4
01943912815ecc658d716281576fc0b0b2a29fee,5
02068114770f22aba749eb506168a3db9fa486ea,6
02173232164abdf7581bdb0322168865971f2dee,11
03313082341f7d8017f5e5928f811b337e486f56,6
03336395923b5c4c040e4eb422e746943276e755,1
035721804130e4e362fca13584d02cd296362a24,1
0382600719997887626e3b720f85f7c5aeda55cd,3
039302517771113d39f5999acf8da4214b71c9ef,8
05636338379d76101aa6390c1c8c6604bab8f95d,2
0576474252378c705247539069df603385de8915,1
061108367749d1975e1e89e14954b1aaf7c87369,5
06878164457c0d67b5c8c1898a9ac407780f267a,6
07370678596c2dfea4f64804c52ca74d1d9a51cd,0
07375621004935d7cbabcbef3019105dfb8eb6a1,6
07576811043e8cf79287a02ca6dafe457437d387,0
0759681492f510fa129641226d7f5d48e33c4ee4,3
07786018297284970e7d270c1041fc11dc83b0e4,4
0798494901548bb148e4b9dfe89234f67b6bafe2,5
08032867397435536401810bc03662709dbcff68,8
0823787537ffce1f717aa44f8d0a7e4ca52f2c5b,5
0841545074d0a0164deac2bf1fc5933faaca5363,5
0845818057d62d198171db350c004c35d5b4bd71,5
0864277441a6b208cb558ca6eb9882550bf15b60,2
0875002970fdcbd64a92d030fc62ffa3f22fdd82,1
0893079838b867f9d7f454b67de099dc85934a3d,5
0894513620926440b830fb1cdb3d4ad00aca0b8b,0
09074405992c0733e06bcb42f2617c5f1d196ac3,10
09198237520059bd6f24c0048be3b49fe826c625,5
0926244785878373ce64e7acf7b1335bcad66eb5,11
0932766711c367f7f93ee1c36b227a82bdf95870,9
093575617425397ea7aaae40cf26702a7fa03c18,3
0944450824de8f54612f9a77b4d0a7adda9a2787,11
09486927852d92f43889aa0d3fb22c4369714979,12
1014492586799ad4783a46b5f3b5f8a9bdbbc06a,10
1017064744909d625c75bca33ad938f56e9e6606,5
1020674204a112699ec0840e457c80e14e65e2ab,3
10331504281f615e312de28dbb36701eddac5c62,1
104867707528e4d078db530bcfecbfe3dbcec072,1
106790593780b20984f77243ddbffc215fdd0cf2,10
11655339171d21eac467f13ce455f21a7165a758,3
121684680688a36d537fb2deba41f9d063a39b87,9
1251469205d0f5755e92f3a54af26a7d50b9a62e,13
125722663656a41db47e0709f2fa7725103090f9,10
13323419470fa0d9821ed8dd31c015a51cf940e5,14
1340590976186d7b7a58ad064bc7a4aadc9b0f05,14
135306254400c148bb95f1b933f92c97946e98dd,1
13628712284bb1e8962837ebdb1b3df598c30991,0
1378247818d54e94dc46cbbad6dfa4883f68b1d2,6
139394860273ef68e983a21d75f4578f3b570c46,13
1408405063bdda39b78905778f15f0cc1e966be6,3
1462044463bf9be2c2e4e5c7eae7aa02380f98f1,14
1512894018d5a0cacea2b121095afd861421f7e2,2
1523717279cca30df945fafca5e56a19bdb807bf,5
152505110350ef1b164d6772308596f83c6f2e15,14
15815285904967811a6076711b9421233b1af308,1
1582746995a92b2ff05ecfab1453d0fe5ced841b,5
1623397174bf5cdde5d76ce2765829ae9c81427b,11
16378758068606c74358bc2683d01fd22b1d5f9b,5
164874059778d78de1a526c402ae9b748be0a56c,5
1679581772bdaf1663b3893e144d502684c5fded,6
17158781662595e08f7d95b9c04c810b9dae1588,14
172414067925e0f68e168d77233f0343b02f8ec8,9
174461022828bd04ab1183c49797dc503e993e19,9
17456716533557b2c87bd2b64b443be67b312a6e,10
17843874065f49aea2e5e1a8b062c3f1bbcb0eac,0
18003526398e8ea2f456b7bf9282d6f6faefb2e0,11
1805541627f268af4c23a5466b020d83b3e91c7f,5
18111811556b433f5b127311ab1aeffd5d7ab74c,14
18455109767765621f89b136e8eb1e1e332f1777,10
185058786207aaf0fba4428e5a974c95c62b918c,2
187454178117abc3303af803c0614595ec6ea6e0,14
19175257828c6f7aa0e5d13879e614accbceec1b,11
1965213871c01ee4f85cb3f31f5f5a54a4d19e26,6
1972029307266e01dcea2fd2470b4785d8ace3cc,14
1996043938b7d0cfa71e4984436140132a916fe5,3
2022811863594cfab97c5194dfcbe47d7da79d90,4
2024004604d3bf7a24ec787a50443be45e5db2ca,10
203191195588270d25b1dfa350477dae703937c6,12
20404581844d5107f876ddf9a16db3cf7a79434d,1
2055273108d716c7f4c982c343452ac89f8e96a3,4
20873095594f6049f61ceb92590200b98968c5b4,9
21305317784f9d09143b33a114d47afb5e11d2fe,6
21327472623521ef9bc9101154b2126e19ebc81f,0
2134920954cd4f6a3e3347d58cae45587355bb69,13
2153620139c5490f704d932ff0040f1b69a93955,4
215619446057bd6a8272dacefd40e808898d65c5,9
21596355395b22904966386741b4148eaa65e277,5
2176866005a51143ba68a3382ef431f85bdbd4c4,10
218736708052cf4442f3091c346416a162e0a2e0,4
2214130711fadd6a43bba47e13a6029fe440b913,2
2238656340bfc94b55756c793d87550f612eb9c3,9
2258732468f3d43cd464af643160377c9ca30f12,3
2297472694f1625c847fc428c3e117b402ee7306,5
23018997496cc602a659273db990df0928a7f3d8,1
2311026101c64d91c1f4288ea0df3368fe4295ea,10
2318768757e6c2b5f79498ec43755690075d42a3,8
23240737730a327ba8715840393d21a08dd96abf,4
23418928473af8c881b4dcfe4a68f0130b4a711d,3
23745932681e330a7606a023ad53c46d11ea3df7,1
2384460649f10a34fffde86edecca2bdb130fd14,2
2419887297406252d9cac63f04fb1e85c4ff486e,9
24207814428df91cfe0491852069a42667407881,9
244268461111bcaf8456d10edaaee3e810ce49b9,3
244277850602a61a959b748563166ae7f7c7aa5b,2
246780913191daeb5f95cb9b9ea93aacf1976349,3
2508342680fd643e733b3e5451e5dd7021599e5b,4
25173120819a1892900daaf907c1c0189fb5dd76,2
25233305776d451643700299b7529fb40fc44392,9
253854201476b74e7f2c4d744bd39be7e828bae8,3
259875168380a0ce71bb14d0a7f41f07cb3344d6,3
2635071893cd536df0d00797b599ef6eccd47348,9
26489065960f32c700d004f82a8a77402af4c5b1,14
26783864985764617a5a60e7ec9860ca6f28bf57,0
2684122263840373b2fe2338ea8350869e932d78,5
2685316658ae44becc4b867f9efc0aedd66d5515,5
2703193054ddbde092bdf1d8c2efd49d57827e84,1
2703823973ec3c6bcd40e028956c228f728ec120,1
270706187983b89c76ff459753ce6142038b7d6c,5
2766960696f93d6f01e9da25f4ca20c3df0b3b60,1
2797006191d98eea51230e402c0214bb3883e3c3,1
286313034858f5bdb8ebfb3e899ecc1c1a71fb0f,7
2869503523c85b34d04acf83281e76c9fe06fe05,10
290734371100c3c9da8115061587e443ff9bafad,10
2953366646e42d51ed818ba82198a47e81508f91,13
2995087075ff063c7ece9c8f88dac5955dc882ce,1
2995171705dd9228e65525e32c64dc12b27cc96c,10
3022358026f3b2046104a2118653dd11e42b41c7,12
30685887693e60fe74139bb732bff17c07eece42,5
30859409758b42fc63c6bba6553ed9d02eca1876,1
3109460263113f57b0757076299955f5df9e0951,13
311401578270d2ccc8ae86cd0e6caa6a49da2551,0
31512881376665db5a1a2823753543a10efc5da9,0
3189902435826b36fb132a3348c11a7eb686347d,1
31923272660c4eade3cc134afc69e0ec4dedcd65,1
32106251062fc27a5fd20994545ab99274a26465,2
3220005310260278eda2299b2da3cb9bb61d6593,6
32210742137d90d60ecdb7bdae69f0ac1b777022,3
327220502652678b97f004b1773293a69f49391f,1
3277410479e87e481357b3622725e220744c04d7,2
3301138414858dca5ae190444c1cb1670c70b29d,3
3319186976cede7256cc658bc752070cf0c10c3d,8
3333561455034b0e2ee23078554890961cdc9dcf,13
3345923357bdb1f3b2b5913d83530bc46869bbac,4
33717290481855acfa738e60ab8aae0fe542822a,14
3376683947677e827189592756bbdf79abe34c9f,11
3378955419320f51b3864d2464247b6b6cb6a989,3
3380571379b0e88cac9c7b7f678a52798031e155,13
3385471649699eb7d7036188a6285f151d4c9aba,11
33943850679769923e67eab5d039ad34ce1641f0,10
34153207366f9375b81256bcba90710449d05566,14
34453793433feb1136489b8b304875641bceb702,13
348539505121447c51a00e23be22a8716c8e1eb2,5
35061357779446b41e2c5d8f84c7351f597711f9,13
35400897957d1d8694893682bd09c59ecad6cfdb,11
35446013502113d5ecd16341795f47d5aaa6db98,9
3571400841d864299696c8d0606229f6dd99309f,14
35777997352d39962530d1865f6a38cbb6b0194d,10
3596609529819b7cf74a57e3658cc151b5a4fde2,1
36073553331e12437ead8e8aac59def01fb9b3b0,1
36143787065c07e9f6014567445c49e7d5708f4a,0
36971488302cdf24a03142bc0f66784cde89bc37,4
3702489861f554d5ba7b4826883684c891fa6e21,1
3720945330a4da76d210a879132afe6b70f38709,2
3729585794964b42e371367e2941643da81407b5,7
3736711536215535e89baa8afbc4bf44ff95102e,9
3743775384252a1a2079e59c30b8f7a9ffa36b62,14
3764482915d91df31db8ffea0d4d7538440e3b3f,3
3768570716879e75c9ba04804450a7c14cfbc9e9,13
3788228508167e19de3361f56dcd6c29917413b8,1
379772265600a23ff98d9ba8cac05244514370e9,7
380397592067aee30f7e05f1ec405aa5206cc344,9
3913752478be2ca8ddadf3859173d2a6122576f8,14
3917966321ccb051137c1fc020529f3fcd008bc6,4
39499022440b4125783caf464cdac461e3b23329,2
39898943592c5fcce9742e838814e4fa428680e5,4
401573043536de29207a76a16d5698804372366a,4
4028035167cd3b7372ed295c68d067cd5205e3d1,14
4090091154fd3decf3ffba9fe69237d15de33e81,3
4189185293243c0a962877f992fc3a2b9a133d70,11
4196806633cba66848ab62efa686919ff0dfac11,13
42786408099651f458aa2fbfbf99838866e128f3,3
4296735460d42fc3ce9a5b9a9e8582df5ff09256,9
43042390348212ecfbdc92a437f19f551150d7ad,1
4305553575f1b7afe847c5feaa569f48696ad33f,4
4307318767cf0531f715a5c1fd950e20b186c93f,1
4318956802448c93571fad11f2c779f047af57b2,9
43339102580aa26b06c597b01423a98f9dbe372b,9
4373124678ee6c7b707092f3cef9106534dd0cc1,10
4379609595c3584a7efa5eaec6bd92783ba3bfb2,2
4395684827a18620cbb31993853dd843f7e3f8a9,2
441563391218273d4e1fc572e4bbaa46e6840102,2
444948977116862551879a554331491aadb2c0cf,13
4467483708a1cc6a8066c66195ba072d5514d11f,13
44729120642462cfb27f3709a4939240cf6d9386,6
4523844281ea01f3498e2454f093b1e97107c65b,4
4556264773d5b84f793870fba63f4ea0de239cc5,14
45699761093da8c0ff2af44bf26f03f29aa10953,1
4598436971df42323b4c6e814b2b2a6781a79a41,14
4707535922ef4d5499e01bf13e47b2e78272736a,10
47093819897d8052d37ba2d7964a4e6dd458f6d8,10
4734501031e810c61f9283b67c9d8b608011424b,10
4742163997db3b534151c349b403c20e820fb48d,13
4748422306cdf2fb294e7e7ca2d81f17ef712325,4
48018435558cc3f3a84bbd2125223605b775e166,10
4820077255ad0aa0233f70bdc127dec5d4ce4343,5
48382711992b93762956e6999d86ab8ed9f4c0b9,10
485675868176498e4b75dd8a359a9bf1433df55d,2
4872525151ce333ab7fc74fe9bad56f111256f88,3
4884137206f74ee4074ef08e83eade30751ea1f3,11
4884583785784f840c9f81132b4af3de8979c194,9
489611354437aebf35805175fef5bbcdaa1ca3fa,9
4928283076ebc3d4f0c6cf775a702cbe37c256d3,4
4959497077043fd0bbfee0afe0bcdd918d203a2e,13
49631232420d2286aa8e1e1287b78a6259798e6e,5
4982197612e50255af754597350e133803400b4c,5
4985079724240db59fc792869d8b90247be187c5,6
4993555360700213bf9f5e808cf46f9aa019fe05,9
49954615666c32eb7aaa9b5bb21c058b333772d3,2
5002376111acdd8a883980ef5450364378729fab,13
500566334879fa3f29ba80eb5b6cc0deb8d58ab1,5
50189376061586f347e42f324a21f066a8381394,1
5031768631029630668d3de88a1d6af046e0c06e,3
50710696518ee1e901c2eb166794d0040c324258,0
507175134428e75980a1ddec587e7d14e249c117,1
5078527320d56732f62d5e8aa06c4bbfaf9aa24e,1
5080737671cf40c1342ba0de31aa0fbddde57994,6
5106563776b017e8fd3de22fe6162af06058941f,9
5113264439e940dbecdff1e093254ba5226b1357,1
51655724646d38b892216a93990fabce9743c043,7
5202165482f549ccf288bd260090ce021f1854d2,3
5209653098690b8e1053fb4e0e732d12ad18fcdd,5
5210641865bcb7a8341361c5caf0ce7d08fd5752,1
5216502674868229c9e27d40a9c2b6329e81e28f,2
52251995304448e6f5863aa7629ed23a51ca18b5,10
52380795469b097c4cba09b15d39a56d8d73005e,13
52422472896e34aa8bb850f69f84796bf12d2606,13
5278056216e40f39ca99eac6aa8ec287f3596128,14
52959585348a0b55f9d053942cc58c77ce368061,2
52989862458ae058c485cebc85e19945c5c259da,2
5301386902f258d33301f14da7bff14a52f4e578,5
531037081155778a5452bca6e23e5cada4f5e355,3
53154832473216bb9c131448b0e9af0a1efecab2,10
5355468557ba242b0a4d01541fbbf7961c89fb88,13
5376659004103b8441f2168f374c15b27aa67548,6
53942373243d6e4ec97cc3fb01444d3e58911fc2,3
539756046054d2b39a7a3e5dd07db0f53bdf8ef6,3
54020881063e7e209626f6c7505bf06ed260371e,9
5420958083961f36f7778f904fb8964e64ec56f3,1
5456601915b5ceb9bd6675d85c2353f566b22d19,13
5471057917596ed435c40c52c8bf6c204a6f15d0,9
54843475633670c13fcc0b7c53760b9b9488139e,10
550101680245a208416e90c9e1b84251070f650a,10
5505260924ce4d21bab055307dcd5fb7f6b38252,8
5505702630134630e4708c109bfdfc2215430d4c,13
55358859349a33798184bfaed92532a1a2d27807,1
5539556456f5271a2a70f0b83bdf16dd45092b62,3
55666447992d5499a48e3248c7c359adb6fd9a58,3
55859241240ff9c0f6ea16325dadd49b57446363,7
5592917607c3492d4f969ce191e4b1e0acd4f37d,8
5595262792911d64c55b08c64eb19a4981b826dc,1
5597029755134d83b79cb4ccd6c14cc8f81a1128,1
5604883169afdf03185fc99c27ead5467f900267,9
5640382882b3bce4efdb86c8126d280a6988589f,3
56663885530650835850632ee8c86774f99103b8,8
5674730300ee9a17ba99f095a3ce8cc4c3c83e62,13
5688221419e42724590bcff3297b76ea790fe914,10
5691464832eea9875e32cad3bc4d3748161fe013,9
5693601905d9243fe1a427bbecffb6248b068687,4
5695420952c00d3160520030557737ba25d45193,6
56955864794b7c22811345c56113e0b765d5e21c,6
56969770584c1a79b67b076c5b386c42afa90c8c,0
5698031053d73eb01f4cf046fdab8ddac2a82dcd,0
56981549025ecffb3b7ede152f03d0de16fabc26,7
5716623457b22d681f232ae71c400e0391c37870,2
574222235568aa0ab28ac0314b7b6fe4c1d1fddd,14
574242369698c563099cda70db29377344792ee5,1
5743510862604f600690151932d34cfb05e43eb2,2
5785450604842736595327bded16c7abbf1a9898,3
5898843131e86427d6aadbccab609cec8639906f,3
5919993834b153779edf569b9c3751298141e0c0,13
59231345696bdad2f5e2a6d5db4b14eab0a428c8,6
5938152678438f08056f765d6eda8dcfbc0aaefc,9
5942572660aeac06adeee100d64578feb79442a6,1
59579690223c52d3843a98ade98a70b2a4fd4d4d,14
5981275470d7a0fa99b446a149b0fc1ff4b4a008,10
5989058285d66ced44110ce5de657ba619e42a57,9
6003119104c807452bcd2efc8d782f69558c94ce,0
60123480286439f86804a67234824cadde464b29,10
6071262185e8ecde8e5bcbd5a2c6449affc8c055,6
609260220039eac655b0d2f4a10249a3cd7ee951,6
6093851667832a066d470fb6bcc16127adc9bea1,12
6098113525d3dd13baf2de11573bd3cd022360d5,1
61553214015d27b6979d1a2344011d70853b843a,1
6168053395398e55b12b78c380cbc548e293749e,10
6168610593ebc751b0e0b273ad830c8e58e9b51a,4
61890582451ffe389e449050bc08422a5cb97cbf,13
622576059393f8105ca1f82ee5d47d92e5faafcd,3
622659577374d5066fd8e2cb0d0529009d76d327,2
62643862894da174f85315a31cd2a5db7a0408f0,5
6265398421452d03544c634cefad623419a56e37,3
6289687355f06213758ce41aa67914362d09e291,11
6289832558d0381456eb206b5a10779e4aa493e5,10
635525236416dd8baeb66860155b32043e8b454f,0
6393769417a8b2e538adfa0b3937c51ec7adbd96,2
6426179320b2e874857dec0d437218280b59eb8d,13
64321774505d9cacda39361181427f84d778ba04,4
645254789202a4502ac300e0d3ca4e16f3d8d0ad,10
6501199024204374deac4c555045fc1fe909fbc9,0
65223360729f78c6e44ef0578ca1b3ff10a08f3b,3
6531665861413ed3073e7044beeb2a5a18735e4c,10
6542090764229e569d6b3464e6154d58b5d9a5d6,14
6566708121c76dc06b8c1932157fcac46475c194,3
65692475949ac791b3ec7afbb5b9030668dbecbc,14
